Nombre,Edad,Titulo_Profesional,Universidad_Instituto,Palabras_Clave,Comuna,Presencial,Magister,Target
Daniela Espinoza Alvarez,60,Periodista,Pontificia Universidad Católica,19,Santiago,No,Si,Aceptado
Camila Ximena Soto Medina,32,Licenciado en Ciencias,Universidad de Santiago,10,Ñuñoa,Si,No,Rechazado
John González Gutiérrez,57,Ingeniero Civil,Universidad de Chile,7,Las Condes,Si,Si,Aceptado
Valentina Rosa Castillo González,33,Abogado,Universidad Andrés Bello,11,Santiago,Si,No,Aceptado
María Francisca Espinoza Mora,48,Licenciado en Ciencias,INACAP,9,Peñalolén,Si,Si,Rechazado
Juan Soto,65,Arquitecto,DUOC UC,19,Estación Central,No,Si,Aceptado
Facundo Juan Palma Silva,24,Licenciado en Ciencias,Universidad Adolfo Ibáñez,4,Ñuñoa,Si,No,Rechazado
René Rojas Tapia,25,Ingeniero Comercial,Universidad Adolfo Ibáñez,13,Recoleta,No,Si,Aceptado
Karina María Inostroza Rodríguez,30,Arquitecto,INACAP,20,Antofagasta,Si,No,Aceptado
Claudio Daniel Vargas Arancibia,65,Ingeniero Comercial,Universidad Mayor,7,Quilicura,No,Si,Aceptado
María Margarita Torres Apablaza,35,Arquitecto,Pontificia Universidad Católica,16,Providencia,Si,No,Aceptado
Patricio Domingo Sepúlveda Osorio,27,Ingeniero Comercial,Universidad Técnica Federico Santa María,9,Ñuñoa,No,No,Rechazado
Nilda Patricia Venegas-González Cordero,50,Técnico en Informática,Universidad Diego Portales,17,Recoleta,Si,No,Rechazado
Eliana Lidia Aburto Rodríguez,29,Psicólogo,Universidad Técnica Federico Santa María,13,Peñalolén,Si,Si,Aceptado
Ricardo Mario León Bello,61,Abogado,Instituto Profesional AIEP,20,Puente Alto,Si,No,Rechazado
Eduardo Jorge Vera Cerda,47,Técnico en Administración,Universidad de Concepción,12,Antofagasta,Si,No,Aceptado
Erika Elizabeth González Miranda,36,Enfermero,Universidad de Chile,12,Puente Alto,Si,No,Aceptado
Jorge Mancilla Jara,32,Técnico en Administración,Universidad de Concepción,18,Las Condes,Si,No,Aceptado
Miguel Juan Mejías Díaz,56,Licenciado en Ciencias,Universidad Diego Portales,2,Concepción,No,No,Rechazado
Simón Olivares Villalobos,29,Ingeniero Informático,Universidad de Concepción,11,Maipú,Si,No,Aceptado
María Cecilia Cortés Toledo,44,Arquitecto,Universidad Andrés Bello,4,Viña del Mar,No,No,Rechazado
Fernando Emmanuel Varas Parraguez,22,Licenciado en Ciencias,Universidad de Santiago,2,La Serena,No,Si,Rechazado
Albino Alonso Catalán Vega,35,Médico,Universidad de Chile,2,Ñuñoa,Si,Si,Rechazado
Rosendo Héctor Morales Gajardo,60,Médico,Universidad Diego Portales,8,Viña del Mar,Si,No,Rechazado
María Jara-Monsalve Hidalgo,47,Técnico en Administración,Universidad Andrés Bello,9,Valparaíso,No,Si,Rechazado
Consuelo Pía Valenzuela Valderrama,53,Periodista,Instituto Profesional AIEP,3,Ñuñoa,No,No,Rechazado
Wilmer Vera,44,Ingeniero Comercial,Universidad de Concepción,6,Viña del Mar,Si,No,Aceptado
Maite Silvia González-Castro Vergara,53,Ingeniero Civil,Instituto Profesional AIEP,6,Peñalolén,Si,Si,Rechazado
Esteban San Martín,43,Enfermero,Universidad Diego Portales,1,Quilicura,Si,Si,Rechazado
Jorge Pablo Carmona Silva,49,Psicólogo,Universidad de Santiago,11,Antofagasta,Si,No,Aceptado
Sonia Eliana Ortiz Zambrano,51,Técnico en Informática,Universidad de Chile,10,Ñuñoa,No,No,Rechazado
Ronald Palma,54,Licenciado en Ciencias,Universidad de Chile,0,Puente Alto,Si,Si,Rechazado
Antonella Bustamante Allende,34,Arquitecto,INACAP,8,Las Condes,Si,Si,Rechazado
Carla Belén Norambuena Burgos,58,Periodista,INACAP,0,Antofagasta,Si,No,Rechazado
Antonio Torres Fernández,65,Abogado,Universidad Andrés Bello,14,Viña del Mar,Si,Si,Aceptado
Martina Josefa Muñoz Pérez,33,Arquitecto,Universidad de Concepción,6,Independencia,No,No,Rechazado
Silvia Bárbara Reyes Guerra,58,Abogado,INACAP,16,Ñuñoa,Si,Si,Aceptado
Maricela Paula Naranjo Gómez,53,Ingeniero Comercial,Universidad Adolfo Ibáñez,0,Santiago,Si,Si,Rechazado
Jeannette Mora Rodríguez,23,Ingeniero Civil,Pontificia Universidad Católica,20,Providencia,Si,Si,Aceptado
Camila Peñaloza Cortés,25,Ingeniero Civil,Universidad Adolfo Ibáñez,10,Las Condes,Si,No,Aceptado
Rocío Oliva,38,Periodista,INACAP,5,San Miguel,Si,No,Rechazado
Edith Susana Caballero Ríos,32,Licenciado en Ciencias,INACAP,15,Viña del Mar,Si,Si,Rechazado
Francisca Orellana Morales,30,Ingeniero Comercial,Universidad Diego Portales,5,Viña del Mar,No,No,Rechazado
Anita Lorena Briceño Alegría,57,Técnico en Administración,INACAP,18,Providencia,Si,Si,Aceptado
Susana Mirna Castillo Calderón,40,Técnico en Administración,Instituto Profesional AIEP,19,Estación Central,Si,Si,Aceptado
Hilda Dinamarca Oliva,60,Licenciado en Ciencias,Universidad Técnica Federico Santa María,17,Antofagasta,No,Si,Aceptado
Eliana Orellana Carvajal,32,Técnico en Administración,Universidad de Santiago,17,Peñalolén,No,Si,Aceptado
Felipe Martínez Mancilla,23,Enfermero,Pontificia Universidad Católica,0,Valparaíso,Si,Si,Rechazado
Raúl Riquelme Tapia,33,Periodista,Universidad Mayor,4,Santiago,Si,Si,Rechazado
María Ema Ramírez Orrego,56,Ingeniero Informático,DUOC UC,18,Concepción,No,Si,Aceptado
Martina Quiroz,24,Enfermero,DUOC UC,19,Providencia,Si,No,Aceptado
Alexis Morales Echeverría,32,Ingeniero Civil,DUOC UC,16,Peñalolén,No,No,Aceptado
Lidia Barraza Opazo,59,Técnico en Administración,Instituto Profesional AIEP,7,Antofagasta,No,Si,Aceptado
Vania Torres,39,Licenciado en Ciencias,Universidad de Concepción,1,San Miguel,Si,Si,Rechazado
Lucas Leonel Bustos Guzmán,37,Arquitecto,Universidad Adolfo Ibáñez,8,Providencia,Si,No,Rechazado
